split,label,n,num_likely_inverted,mean_inversion_score,median_inversion_score,likely_inverted_fraction
train,0,2277,30,-0.25622324218182485,-0.2546285390853882,0.013175230566534914
train,1,1047,4,-0.256656320098478,-0.2507883310317993,0.0038204393505253103
train,2,1522,25,-0.23961215705149433,-0.2409522384405136,0.0164257555847569
train,3,760,9,-0.25288597233593463,-0.2523527592420578,0.011842105263157895
train,4,176,0,-0.264698824421926,-0.25398580729961395,0.0
val,0,488,7,-0.25281172367881555,-0.25098881125450134,0.014344262295081968
val,1,224,1,-0.24836890532502107,-0.24255551397800446,0.004464285714285714
val,2,326,9,-0.23828295078928485,-0.24622473120689392,0.027607361963190184
val,3,163,3,-0.24961052460173155,-0.25299346446990967,0.018404907975460124
val,4,38,1,-0.22663020028879768,-0.2328014075756073,0.02631578947368421
