epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,learning_rate,suppression_probability,suppression_mode
1,0.5358202626902271,0.7767208578346593,0.8050781521287164,0.9604009188308746,0.6658595641646489,0.6690099818275688,0.6536786141101872,5e-05,0.75,blur
2,0.3910338107853437,0.8358699411968177,0.8576386739568651,0.9723968466952791,0.6384180790960452,0.6634356070242072,0.6435564548315125,5e-05,0.75,blur
3,0.32961689259448457,0.8659633344863369,0.8846834555371714,1.048143282376344,0.6174334140435835,0.6549913530640916,0.6273604003047086,5e-05,0.75,blur
4,0.2776680359431964,0.8912141127637496,0.9050760086764406,1.0260504003587128,0.6440677966101694,0.6733957399849528,0.6475808512043969,5e-05,0.75,blur
5,0.2121857356928245,0.9176755447941889,0.9286275280067897,1.2652819161457434,0.606133979015335,0.6378247171310454,0.6140716454475674,5e-05,0.75,blur
6,0.1821831912066451,0.9292632307160152,0.9412843346991735,1.2874415265012884,0.6238902340597255,0.6584842691715609,0.6276230893707331,5e-05,0.75,blur
7,0.14814733962835414,0.9424074714631615,0.9519968936643662,1.208117091226977,0.6238902340597255,0.6685963033061161,0.6338828820497759,5e-05,0.75,blur
8,0.10121507677953498,0.9595295745416811,0.9670817107297307,1.470609080362118,0.6545601291364003,0.6638793115646027,0.6435322559925861,5e-05,0.75,blur
9,0.08482808844087789,0.9690418540297475,0.9744879030584854,1.472578695111572,0.6303470540758677,0.6433459045709083,0.6278295857843021,5e-05,0.75,blur
10,0.09047165579811339,0.9636803874092009,0.9702835224284987,1.498552871301253,0.6271186440677966,0.6566486265162383,0.6260075693773438,5e-05,0.75,blur
11,0.06435474451348303,0.9740574195780007,0.9778966537435785,1.6022436382343708,0.6416464891041163,0.6652811226817861,0.6406586934381727,5e-05,0.75,blur
12,0.061998622947046646,0.974403320650294,0.9784393755179874,1.5517089380232483,0.6319612590799032,0.6542476166886388,0.635886580696308,5e-05,0.75,blur
13,0.056027147964080225,0.978554133517814,0.982685519035486,1.6920554504652385,0.6448748991121872,0.6667879193659514,0.6412839934103165,5e-05,0.75,blur
14,0.05474361271009691,0.9797647872708405,0.9818776154393717,1.6376395945191455,0.6505246166263116,0.6623994540004887,0.6395576040685561,5e-05,0.75,blur
15,0.04840600628057731,0.9830508474576272,0.9825296810236803,1.8672771473836884,0.6359967715899919,0.6513102678537169,0.6222825987961687,5e-05,0.75,blur
