epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,learning_rate,suppression_probability,suppression_mode,roi_inversion_for_mask_generation,darken_factor
1,1.1665764981922664,0.4662746454514009,0.4498857507549469,1.0501115202807534,0.5399515738498789,0.4824468280683412,0.5143756669869967,0.0001,0.5,blur_darken,False,0.5
2,0.9416616053079825,0.5594949844344518,0.5770176090218292,0.9208534383023333,0.5423728813559322,0.5899823642231723,0.5496595669598513,0.0001,0.5,blur_darken,False,0.5
3,0.876229392970899,0.584918713248011,0.6122588618168436,0.9192935098939793,0.6077481840193705,0.6296226071056507,0.6018105566142398,0.0001,0.5,blur_darken,False,0.5
4,0.8266729362404334,0.5994465582843307,0.6321803522779732,0.8148552237065018,0.6351896690879741,0.6262409276434824,0.60947948246163,0.0001,0.5,blur_darken,False,0.5
5,0.778010841720618,0.6324801106883431,0.6620650027671908,0.7789695315826699,0.6497175141242938,0.6659499704174772,0.6507008531142621,0.0001,0.5,blur_darken,False,0.5
6,0.7623813830622749,0.6456243514354895,0.672800593652209,0.7855771174586714,0.6650524616626311,0.6483512701206273,0.6494462815168586,0.0001,0.5,blur_darken,False,0.5
7,0.732247427647108,0.6592874437910757,0.6918906472175571,0.8180880967747116,0.6263115415657788,0.6685415234166185,0.6365566669246548,0.0001,0.5,blur_darken,False,0.5
8,0.6900670553771158,0.6584226911103425,0.6951776182917566,0.8496601898959801,0.6505246166263116,0.622254605344735,0.6112747187131586,0.0001,0.5,blur_darken,False,0.5
9,0.6716765357379227,0.6835005188516085,0.7206945028139582,0.8150704520858999,0.6481033091202583,0.6449824586037516,0.6300495134221945,0.0001,0.5,blur_darken,False,0.5
10,0.6107685836550687,0.7070217917675545,0.7471040742685655,1.0007322950166881,0.5560936238902341,0.607747302660379,0.5559155482117825,0.0001,0.5,blur_darken,False,0.5
11,0.5818225782105602,0.711345555171221,0.7532384545126034,0.8087072091010234,0.6513317191283293,0.6795947620842967,0.650869548428483,0.0001,0.5,blur_darken,False,0.5
12,0.5622095236859491,0.7310619162919405,0.7652073225321128,0.8910794547722165,0.6303470540758677,0.6388241970224943,0.620304969317742,0.0001,0.5,blur_darken,False,0.5
13,0.5148663765592008,0.7608094085091663,0.7958979792557044,0.8500244005299846,0.648910411622276,0.6889750094835391,0.6596570389439312,0.0001,0.5,blur_darken,False,0.5
14,0.47300394286090053,0.775337253545486,0.8135869688339886,0.9007400546562682,0.6529459241323649,0.6775406168403411,0.6527567520413132,0.0001,0.5,blur_darken,False,0.5
15,0.44477620301301074,0.7953995157384988,0.8273986915216355,1.0539847606006796,0.6142050040355125,0.6579781395788382,0.6263273044477715,0.0001,0.5,blur_darken,False,0.5
16,0.40852829117092115,0.8164994811483915,0.8469372413219137,0.9347525236825966,0.6271186440677966,0.6634302397890212,0.6382164739300942,0.0001,0.5,blur_darken,False,0.5
17,0.34124111446005295,0.849014181943964,0.8741431305599077,1.0752660527260098,0.6295399515738499,0.6702517041063728,0.6424639976046996,0.0001,0.5,blur_darken,False,0.5
18,0.33579776532476396,0.8448633690764441,0.8717882646635321,1.2662745752192197,0.5585149313962873,0.6001266869681998,0.562208238932586,0.0001,0.5,blur_darken,False,0.5
19,0.30090034384034325,0.8640608785887236,0.8874735600357562,1.234456931827913,0.6408393866020985,0.6500757339369659,0.6396056666285006,0.0001,0.5,blur_darken,False,0.5
20,0.2749737614049956,0.8815288827395364,0.8985300264611155,1.2180900011419096,0.6206618240516546,0.6544365184795562,0.6309410799009483,0.0001,0.5,blur_darken,False,0.5
21,0.25549176741044793,0.8877551020408163,0.9035847606006069,1.1912892921207603,0.559322033898305,0.6284604586598366,0.5757986894653032,0.0001,0.5,blur_darken,False,0.5
22,0.22628794571842878,0.9014181943964026,0.9185615333866428,1.2214443786092302,0.6440677966101694,0.6573424168007684,0.6384533900220806,0.0001,0.5,blur_darken,False,0.5
23,0.18277112058895717,0.9225181598062954,0.9359497358414121,1.29549884562222,0.6351896690879741,0.63867637025224,0.6238237626132221,0.0001,0.5,blur_darken,False,0.5
24,0.18984977261845276,0.9202698028363888,0.9305242229223957,1.5336723736727114,0.6432606941081518,0.6384106234663308,0.6299995412571289,0.0001,0.5,blur_darken,False,0.5
25,0.1877515000145881,0.9190591490833622,0.931592041327961,1.6247367314795893,0.6432606941081518,0.6553384165155602,0.6275973772401012,0.0001,0.5,blur_darken,False,0.5
26,0.1587696083209602,0.9306468350051885,0.9387397842727119,1.461860947617607,0.6343825665859564,0.6683709799520392,0.6377802252119427,0.0001,0.5,blur_darken,False,0.5
27,0.16178224817052386,0.9318574887582152,0.9444334157321557,1.3784926109394784,0.6416464891041163,0.6605891194563147,0.6392930049768177,0.0001,0.5,blur_darken,False,0.5
28,0.12899585789445156,0.9462123832583881,0.9567194908575096,1.610510052591442,0.5617433414043583,0.6095534344019283,0.5681146717343138,0.0001,0.5,blur_darken,False,0.5
29,0.13507338114308637,0.938083708059495,0.9506629509147627,1.741811809458494,0.6077481840193705,0.6379733200124627,0.6079107651874118,0.0001,0.5,blur_darken,False,0.5
30,0.1478495630456585,0.9427533725354549,0.9509172994762896,1.5487740195331505,0.6279257465698144,0.6410896939021442,0.6284923320132243,0.0001,0.5,blur_darken,False,0.5
