epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,learning_rate,suppression_prob,blur_kernel,base_gamma,max_gamma,max_suspicious_weight
1,0.7449577704345178,0.4111034244206157,0.4430155988037754,0.6915499029667557,0.5343018563357547,0.5370067825647034,0.5313923295592466,0.0001,0.5,21,1.0,2.0,1.5
2,0.5450883665863349,0.5025942580421999,0.5650554190485486,0.5360225337926566,0.4576271186440678,0.521638585218916,0.45522732339298566,0.0001,0.5,21,1.0,2.0,1.5
3,0.48712404401646237,0.5333794534763058,0.6008904394029126,0.6383457553540631,0.5076674737691687,0.5994015352817347,0.5304420974244464,0.0001,0.5,21,1.0,2.0,1.5
4,0.45830897384347985,0.551712210307852,0.6163819203686595,0.49402866445788457,0.576271186440678,0.6126392364060622,0.5821134884977173,0.0001,0.5,21,1.0,2.0,1.5
5,0.41408115397560186,0.572639225181598,0.6430270343528959,0.4873015759956269,0.5318805488297014,0.6215768368136866,0.5379141023532904,0.0001,0.5,21,1.0,2.0,1.5
6,0.4092688721507035,0.5892424766516776,0.6604630116447143,0.47202195479708203,0.6190476190476191,0.6479380273393038,0.6274867453032762,0.0001,0.5,21,1.0,2.0,1.5
7,0.3696993065618471,0.6054998270494638,0.6815719167255759,0.4514221268810506,0.5916061339790153,0.6636602678800176,0.6071394555733489,0.0001,0.5,21,1.0,2.0,1.5
8,0.3552245570998091,0.6298858526461432,0.6986023730032975,0.49814182755637304,0.6440677966101694,0.6664374435440888,0.6425907272375243,0.0001,0.5,21,1.0,2.0,1.5
9,0.3470505907415148,0.6487374610861294,0.7064723608484241,0.49386315867966274,0.5786924939467313,0.6274793029490751,0.5937000062722432,0.0001,0.5,21,1.0,2.0,1.5
10,0.3063898813308048,0.672950536146662,0.7328372474095659,0.5483533236603279,0.5286521388216303,0.6039575591509717,0.5306839358857204,0.0001,0.5,21,1.0,2.0,1.5
11,0.28052131275494013,0.7065029401591145,0.7600221981439772,0.5640341126757634,0.6303470540758677,0.6745570983954978,0.6407033951362783,0.0001,0.5,21,1.0,2.0,1.5
12,0.27300934609642946,0.7170529228640609,0.768222616037621,0.5564041678418644,0.6077481840193705,0.6525056304508088,0.6199556749920339,0.0001,0.5,21,1.0,2.0,1.5
13,0.2514669190317815,0.7386717398823937,0.787810598134506,0.533590113862904,0.5722356739305892,0.6338664796518924,0.5868010874089143,0.0001,0.5,21,1.0,2.0,1.5
14,0.21013829443218468,0.7658249740574196,0.814734405321385,0.614157464075608,0.6222760290556901,0.6461431243587142,0.6263965964295469,0.0001,0.5,21,1.0,2.0,1.5
15,0.19819094654557945,0.7893462469733656,0.829250310224657,0.6825152608393853,0.49878934624697335,0.5968823457300139,0.5077858381877521,0.0001,0.5,21,1.0,2.0,1.5
16,0.18229123240769096,0.8012798339674853,0.8404058919860132,0.6127446336345485,0.6101694915254238,0.6552504360373563,0.617677697869272,0.0001,0.5,21,1.0,2.0,1.5
17,0.13729227765420446,0.8483223797993774,0.8797214612598265,0.7381668449518564,0.6416464891041163,0.6707791559343794,0.6458317889022805,0.0001,0.5,21,1.0,2.0,1.5
18,0.1326136904537023,0.8535108958837773,0.8858613141721288,0.8800512542098736,0.5504439063761097,0.574348145273312,0.5377772885365337,0.0001,0.5,21,1.0,2.0,1.5
19,0.1213018605978441,0.8668280871670703,0.8956463535133675,0.6847910387945136,0.6037126715092817,0.6442868460614185,0.6190914731604273,0.0001,0.5,21,1.0,2.0,1.5
20,0.14787712900031813,0.8723625043237634,0.8865883232929159,0.6429125246884266,0.5835351089588378,0.6323538632317749,0.5967023838016849,0.0001,0.5,21,1.0,2.0,1.5
21,0.1001096964256135,0.8917329643721895,0.912812058111468,0.8374065314934463,0.5334947538337369,0.6176426294041453,0.5512362898774193,0.0001,0.5,21,1.0,2.0,1.5
22,0.08687300357448316,0.9045313040470425,0.9226893112032366,0.7930902312656292,0.6448748991121872,0.6588310570402112,0.6402703566936246,0.0001,0.5,21,1.0,2.0,1.5
23,0.10977208872999969,0.8957108267035628,0.9102947812199469,0.7793597256700125,0.642453591606134,0.6461400614067676,0.6306265419117578,0.0001,0.5,21,1.0,2.0,1.5
24,0.08141467125364105,0.9169837426496023,0.9305422126655563,0.8220642496041707,0.6311541565778854,0.6531676039097605,0.6302060333310363,0.0001,0.5,21,1.0,2.0,1.5
25,0.07712087678890231,0.923209961950882,0.9340805021706752,0.8316092197606648,0.655367231638418,0.6783360575678437,0.6534629466184445,0.0001,0.5,21,1.0,2.0,1.5
26,0.07697414555169696,0.9214804565894155,0.9323779885448913,0.7856374603483444,0.5770782889426957,0.6253695986307453,0.5957404636223593,0.0001,0.5,21,1.0,2.0,1.5
27,0.0749370670687009,0.9240747146316154,0.9362445396025235,0.840759512337708,0.6222760290556901,0.6597069305648319,0.6337282887381798,0.0001,0.5,21,1.0,2.0,1.5
28,0.04849559607617113,0.9470771359391215,0.9573390800612552,0.8327776799737637,0.6561743341404358,0.6688615014449162,0.6433957378035448,0.0001,0.5,21,1.0,2.0,1.5
29,0.08967728400184148,0.9206157039086821,0.931237520303706,0.7228061388501532,0.612590799031477,0.6529133778591423,0.6169693287450742,0.0001,0.5,21,1.0,2.0,1.5
30,0.0432369889598372,0.950363196125908,0.9592377432706911,1.0290002880769815,0.6142050040355125,0.643943289142822,0.6230340279729698,0.0001,0.5,21,1.0,2.0,1.5
