epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,learning_rate,gamma,suppression_prob,blur_kernel
1,0.6408032137541076,0.37806987201660325,0.4143051027930548,0.6345539892797416,0.37530266343825663,0.4397309781623811,0.35776666666768586,0.0001,1.5,0.5,21
2,0.46199060262630903,0.46316153580076097,0.5323796109019645,0.448039841757752,0.39951573849878935,0.4752909438205969,0.3553917520627174,0.0001,1.5,0.5,21
3,0.40412701218444064,0.5006918021445866,0.5736415093256892,0.46118126640019635,0.4487489911218725,0.5509376300197076,0.448903619991947,0.0001,1.5,0.5,21
4,0.3800029015198829,0.5089934278796264,0.5874067475263693,0.3810698389285413,0.5343018563357547,0.5858636629280036,0.544708116461557,0.0001,1.5,0.5,21
5,0.340420559651709,0.5371843652715323,0.6203475760798848,0.4127509133458811,0.5125100887812752,0.6027532126983819,0.5197296221378289,0.0001,1.5,0.5,21
6,0.35975996786564207,0.5304392943618125,0.6054435271538998,0.47342093434422317,0.48991121872477805,0.544815814449818,0.4918118707472988,0.0001,1.5,0.5,21
7,0.3167025084284836,0.546523694223452,0.6380014476475895,0.38492702748070234,0.48748991121872476,0.5692987901600979,0.48583570770203927,0.0001,1.5,0.5,21
8,0.2968668914411316,0.5681425112417848,0.6542113446023272,0.38586092636265806,0.612590799031477,0.6329635098459905,0.6152247516024011,0.0001,1.5,0.5,21
9,0.2722412838743286,0.600830162573504,0.6846938363789649,0.40069603586240193,0.6037126715092817,0.6537026503483536,0.6141512168749764,0.0001,1.5,0.5,21
10,0.2589000039954616,0.6184711172604636,0.6952179863819453,0.3966317616216688,0.48184019370460046,0.5763476013793629,0.46739889721619143,0.0001,1.5,0.5,21
11,0.23333283902162996,0.6345555171221031,0.7142403292498646,0.4185875566906271,0.5488297013720742,0.6178157247770476,0.5593289643297574,0.0001,1.5,0.5,21
12,0.2320410497937595,0.648391560013836,0.7208215052632742,0.42956823539935934,0.5972558514931396,0.6396091761967875,0.606440100268107,0.0001,1.5,0.5,21
13,0.20355877698766695,0.6860947768938084,0.7570598810525282,0.4249046268520382,0.5238095238095238,0.6036321481977918,0.5283363799068144,0.0001,1.5,0.5,21
14,0.17971820808722874,0.7097890003459011,0.7784931656841448,0.4422105426228845,0.6069410815173527,0.650623736337711,0.6205190877021035,0.0001,1.5,0.5,21
15,0.18226400392973394,0.7184365271532341,0.776769843334331,0.5079471623649802,0.5738498789346247,0.6420926776178928,0.5914836543571278,0.0001,1.5,0.5,21
16,0.15896581603257312,0.7454168107921134,0.8019608145637452,0.4606587887607076,0.6174334140435835,0.6566906454114173,0.6293042138863365,0.0001,1.5,0.5,21
17,0.1426653530473158,0.7793151158768592,0.8243705957010299,0.5189529783705052,0.5819209039548022,0.6464504522373028,0.5995903915655735,0.0001,1.5,0.5,21
18,0.12113888082244288,0.7964372189553788,0.8430673335341126,0.6163585865757367,0.5657788539144472,0.5960059735277301,0.5637598304207931,0.0001,1.5,0.5,21
19,0.1108566847720368,0.8208232445520581,0.860237742163377,0.6347059501760471,0.6101694915254238,0.6525074906550842,0.6246109657058196,0.0001,1.5,0.5,21
20,0.10889355289040759,0.834659287443791,0.8639675807960367,0.5270318447208577,0.6311541565778854,0.676344026804094,0.6416126790441911,0.0001,1.5,0.5,21
21,0.12030370166027207,0.821860947768938,0.8528159346547609,0.600661393083614,0.5068603712671509,0.5949486621217821,0.519383192401599,0.0001,1.5,0.5,21
22,0.0839128781899949,0.8630231753718437,0.8909608245968075,0.5930140523887912,0.6464891041162227,0.6445028375873492,0.6363092422645219,0.0001,1.5,0.5,21
23,0.09587308719776125,0.8609477689380837,0.8871172434998078,0.6645438270455435,0.6142050040355125,0.6335139652615791,0.6180470033256039,0.0001,1.5,0.5,21
24,0.06613236005472445,0.8861985472154964,0.9099735249165317,0.8234690845653841,0.6594027441485069,0.6693248776590432,0.650680703348071,0.0001,1.5,0.5,21
25,0.07993758303673493,0.8782428225527499,0.8997430865914315,0.7461228063653274,0.6376109765940274,0.671029340475741,0.6450163527140028,0.0001,1.5,0.5,21
26,0.0689654069574468,0.8955378761674161,0.9116468388641639,0.7032476334627402,0.5980629539951574,0.6314001316850895,0.6145075478050221,0.0001,1.5,0.5,21
27,0.07328524880319968,0.8964026288481495,0.9133430272560175,0.7353991450308923,0.5819209039548022,0.6222934480441761,0.5964748651034018,0.0001,1.5,0.5,21
28,0.06139685055327968,0.9066067104808024,0.9268500572474785,0.7369015891567403,0.6569814366424536,0.6353888416015387,0.622072199599291,0.0001,1.5,0.5,21
29,0.04824323153631605,0.9206157039086821,0.937311250508737,0.6230411374696423,0.6214689265536724,0.6676525544639796,0.6330860650212574,0.0001,1.5,0.5,21
30,0.04447394616349234,0.9239017640954686,0.9394795352858448,0.8075156901245959,0.6029055690072639,0.6504707686090008,0.6092891090353897,0.0001,1.5,0.5,21
