epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,learning_rate,suppression_probability,suppression_mode,roi_inversion_for_mask_generation,darken_factor
1,1.1577078711405133,0.463680387409201,0.45693690321520214,0.9618148851817996,0.5883777239709443,0.5428665042133842,0.5496360386695882,0.0001,0.5,darken,False,0.35
2,0.933208243836997,0.5558630231753718,0.573338353538604,0.932769908310426,0.5173527037933817,0.5754419527384155,0.524518930678807,0.0001,0.5,darken,False,0.35
3,0.8735461678730909,0.588031822898651,0.608935187187057,0.9798056445264162,0.5883777239709443,0.6049551397859936,0.575044773766539,0.0001,0.5,darken,False,0.35
4,0.8281541631032917,0.6044621238325839,0.6382502410735373,0.8182721508665369,0.6133979015334947,0.6261387290932598,0.5988456783790926,0.0001,0.5,darken,False,0.35
5,0.7727989633163339,0.6329989622967831,0.661847009816561,0.8125052261823988,0.6803874092009685,0.66632943244356,0.6619135488655249,0.0001,0.5,darken,False,0.35
6,0.7523590217037458,0.6459702525077827,0.6788851664911599,0.797402298286906,0.6109765940274415,0.638093228753543,0.6067790411989609,0.0001,0.5,darken,False,0.35
7,0.7129671703115626,0.6580767900380491,0.6972036908500965,0.7823932528784431,0.6101694915254238,0.6714464412475913,0.627011723680325,0.0001,0.5,darken,False,0.35
8,0.6688320733341367,0.673469387755102,0.7166974966564819,0.9349986248746622,0.672316384180791,0.6442116482351136,0.6317772242868781,0.0001,0.5,darken,False,0.35
9,0.6666251866411725,0.6841923209961951,0.723910574967093,0.8835593462952498,0.6359967715899919,0.6291898172657019,0.6251972772170872,0.0001,0.5,darken,False,0.35
10,0.6061960384739349,0.7139398132134209,0.7507593433192258,0.9237916712274082,0.5601291364003228,0.60568923439029,0.5680630678893324,0.0001,0.5,darken,False,0.35
11,0.5772444617373026,0.7167070217917676,0.7580584265379929,0.957259823373482,0.6448748991121872,0.6505624685285107,0.6553549093336795,0.0001,0.5,darken,False,0.35
12,0.5538749718585669,0.7445520581113801,0.7746088421002296,0.8783060062595488,0.645682001614205,0.6686133147828148,0.6488655608278089,0.0001,0.5,darken,False,0.35
13,0.49363061650654555,0.7729159460394327,0.8095121861745129,0.8756545879746561,0.6359967715899919,0.6767908054347913,0.6480023345273475,0.0001,0.5,darken,False,0.35
14,0.4378005643537901,0.7955724662746455,0.8313241330095631,0.9639360038405758,0.6602098466505246,0.6748706653502735,0.6528086593950656,0.0001,0.5,darken,False,0.35
15,0.44745089152885203,0.7992044275337253,0.8260744091189363,0.9346494554655508,0.6246973365617433,0.6685735057246427,0.6345090211537051,0.0001,0.5,darken,False,0.35
16,0.3855729549040806,0.8296437218955379,0.8554433270213442,1.1601445469960174,0.6004842615012107,0.6397803373625959,0.6026307689353767,0.0001,0.5,darken,False,0.35
17,0.34252110180589657,0.851089588377724,0.877947778733664,1.0607456949519187,0.5504439063761097,0.6339296011500364,0.5676850298693996,0.0001,0.5,darken,False,0.35
18,0.32684044723680217,0.8566240055344172,0.8804344274487758,1.1423546723161522,0.6222760290556901,0.6348566465017301,0.6123469442123561,0.0001,0.5,darken,False,0.35
19,0.29681044790748184,0.8689034936008302,0.8895471103886503,1.141869902706993,0.6448748991121872,0.6718584237133494,0.6479622758352211,0.0001,0.5,darken,False,0.35
20,0.24862343954023544,0.8964026288481495,0.9136965950606758,1.2403052904138745,0.6448748991121872,0.6554105728541393,0.6351380193619098,0.0001,0.5,darken,False,0.35
21,0.23361765402193632,0.9007263922518159,0.9115587516649508,1.3353856587429216,0.5916061339790153,0.6472943370331856,0.6081590525280557,0.0001,0.5,darken,False,0.35
22,0.2035418375398782,0.9131788308543757,0.9297877615947083,1.2806909650961078,0.6408393866020985,0.6433481193485191,0.6244632429944831,0.0001,0.5,darken,False,0.35
23,0.19882049142350502,0.9143894846074023,0.9268018209896894,1.2410811737624747,0.6182405165456013,0.6427388149985266,0.6219371868911896,0.0001,0.5,darken,False,0.35
24,0.1937807685145042,0.9192320996195088,0.9293423467007325,1.4561160384790852,0.632768361581921,0.6522199311049042,0.6310249453372409,0.0001,0.5,darken,False,0.35
25,0.15277865278592256,0.940159114493255,0.9495015795130737,1.5135039783611328,0.6246973365617433,0.6645778526732191,0.6283286821103822,0.0001,0.5,darken,False,0.35
26,0.15226990375210364,0.9377378069872017,0.9466898206928963,1.449671756650552,0.6182405165456013,0.6630245917543929,0.6273780497470378,0.0001,0.5,darken,False,0.35
27,0.14603005365839997,0.9384296091317883,0.9491981803368491,1.4482469005484655,0.609362389023406,0.6489844665951265,0.6149879286517995,0.0001,0.5,darken,False,0.35
28,0.14010236368684367,0.9373919059149083,0.9477149891168326,1.4419666497251793,0.6416464891041163,0.6604878030504903,0.6303053670579294,0.0001,0.5,darken,False,0.35
29,0.1286803597243859,0.948806641300588,0.9557131380330695,2.197762570764097,0.6230831315577078,0.5880458617155615,0.6181810271062355,0.0001,0.5,darken,False,0.35
30,0.16227241383433155,0.9344517468004151,0.9414324568396827,1.5290436536326246,0.632768361581921,0.6482743964102609,0.6161046594249249,0.0001,0.5,darken,False,0.35
