epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,learning_rate,suspicious_suppression_probability,suspicious_train_cases_matched
1,1.0588922936872642,0.513317191283293,0.5122183323955971,1.0155770734878584,0.612590799031477,0.5398906003787667,0.5843828785603521,0.0001,0.5,769
2,0.8439569594702561,0.6172604635074369,0.6349570683398004,0.8213295908922914,0.5980629539951574,0.6452525884007762,0.6106622371694735,0.0001,0.5,769
3,0.7703345136756263,0.6373227257004497,0.665814920082638,0.8589430463419891,0.6529459241323649,0.6693983202745147,0.6468097304913972,0.0001,0.5,769
4,0.7311646913377029,0.6610169491525424,0.6835607150691698,0.8241587622787223,0.6795803066989508,0.6741080897040345,0.666987800351896,0.0001,0.5,769
5,0.655557474780561,0.6900726392251816,0.7248944379914629,0.8336530815843038,0.6521388216303471,0.6750338173496547,0.6553835045459645,0.0001,0.5,769
6,0.6320755004635404,0.7106537530266344,0.7378458398777413,0.8626951353986769,0.6521388216303471,0.6525920650527474,0.646921853559343,0.0001,0.5,769
7,0.5978079202656761,0.7255274991352473,0.7552762792481393,0.8471628584093966,0.6303470540758677,0.6645785440855679,0.6397562781776169,0.0001,0.5,769
8,0.5095206375550498,0.7646143203043929,0.7999387138878233,0.897113744906113,0.6852300242130751,0.6831213105373275,0.672848214358138,0.0001,0.5,769
9,0.49921217116465083,0.7730888965755793,0.8017126019728646,0.8731203568712947,0.6626311541565779,0.6627032625634568,0.6567003851325802,0.0001,0.5,769
10,0.412040603790717,0.8164994811483915,0.8440616968940576,1.0537566829102958,0.6077481840193705,0.6460892248666965,0.6219733060096528,0.0001,0.5,769
11,0.36870472114088626,0.8370805949498443,0.8562926515136198,0.9694030059500025,0.6497175141242938,0.6695639857775729,0.6484201604712576,0.0001,0.5,769
12,0.3375668375137891,0.8599100657212038,0.8747278105552914,1.0284963123398119,0.6739305891848265,0.6891063841967026,0.6743231488496163,0.0001,0.5,769
13,0.27794486725724143,0.8770321687997232,0.8965083503220438,1.0663224342275377,0.6585956416464891,0.6838328316458163,0.6636244034591667,0.0001,0.5,769
14,0.23845273456160934,0.8988239363542027,0.9136965578961493,1.1638824547204258,0.6400322841000807,0.6579920184037776,0.6336154120627318,0.0001,0.5,769
15,0.2449895613042387,0.9038395019024559,0.9117219406116595,1.284150861919263,0.6230831315577078,0.6441053802814946,0.6166170925734593,0.0001,0.5,769
16,0.19545204652939152,0.915600138360429,0.9276799134800531,1.1798964926944422,0.6448748991121872,0.6746604559677121,0.6453459692012414,0.0001,0.5,769
17,0.17203370607946106,0.9296091317883085,0.9388835926315672,1.359309360396968,0.6497175141242938,0.6617897375187638,0.6475186693573206,0.0001,0.5,769
18,0.1858363964281453,0.9270148737461086,0.9314831596997785,1.2253094970386196,0.639225181598063,0.6539093131515095,0.6312197213500981,0.0001,0.5,769
19,0.14648155381130548,0.9424074714631615,0.9484816092813155,1.2627624626646512,0.6416464891041163,0.6753471896267091,0.6524583298984168,0.0001,0.5,769
20,0.1437914390777328,0.9448287789692148,0.9515423510951836,1.4046632737594809,0.6279257465698144,0.6642241379292282,0.6347965090016118,0.0001,0.5,769
21,0.1357363518507876,0.9437910757523348,0.9532156993185517,1.4492423271247703,0.6182405165456013,0.6637840069600595,0.6287770447021995,0.0001,0.5,769
22,0.17439840564492023,0.9297820823244553,0.9328313940142335,1.2004598368371178,0.6690879741727199,0.6770462837417851,0.6623275375489338,0.0001,0.5,769
23,0.12130749406823287,0.9491525423728814,0.9554487376934235,1.4414566156722732,0.6464891041162227,0.6538814495747195,0.6379974186912332,0.0001,0.5,769
24,0.09186676568865508,0.9643721895537876,0.9688886784907897,1.5475077846465606,0.6707021791767555,0.6669159476897684,0.657091904199945,0.0001,0.5,769
25,0.11445938007780765,0.9543410584572812,0.9591523058562416,1.3692397580116,0.5907990314769975,0.6487221619872579,0.6028197789561701,0.0001,0.5,769
26,0.1004508262837131,0.9593566240055345,0.9650388889296849,1.5308893153314644,0.6545601291364003,0.6730982036024208,0.6489154176884849,0.0001,0.5,769
27,0.13164301106984272,0.9520927014873746,0.953645617540222,1.466662211242922,0.6698950766747377,0.6713297471137316,0.662027543473134,0.0001,0.5,769
28,0.08493755095244028,0.9659287443791076,0.9722205638652479,1.4295980009799816,0.6626311541565779,0.6764467121355997,0.6541436596523051,0.0001,0.5,769
29,0.08315364936616662,0.9647180906260809,0.9706982203492519,1.5598305271302528,0.6561743341404358,0.6637457368749216,0.6476953319224577,0.0001,0.5,769
30,0.0955484917548278,0.9628156347284677,0.968479577506234,1.503990367740465,0.6214689265536724,0.659804970702822,0.6267920121799623,0.0001,0.5,769
