metric,value
num_cases_evaluated,4454.0
num_suspicious_cases,971.0
suspicious_fraction,0.2180062864840593
num_low_region_attention_cases,895.0
low_region_attention_fraction,0.20094297260889088
num_high_border_attention_cases,891.0
high_border_attention_fraction,0.20004490345756623
suspicion_quantile,0.2
border_quantile,0.8
min_low_methods,2.0
central_ellipse_inside_ratio_low_threshold,0.549561248411168
quantized_central_inside_ratio_low_threshold,0.3892185196723862
central_joint_band_inside_ratio_low_threshold,0.286995453641673
border_attention_high_threshold,0.19527500511391482
central_ellipse_mean_inside_ratio_all,0.6007872140839697
central_ellipse_mean_topk_inside_fraction_all,0.6566099599112523
central_ellipse_mean_inside_ratio_suspicious,0.49156339211000016
central_ellipse_mean_topk_inside_fraction_suspicious,0.4863868614526352
quantized_central_mean_inside_ratio_all,0.44117667142714984
quantized_central_mean_topk_inside_fraction_all,0.45478923513146713
quantized_central_mean_inside_ratio_suspicious,0.3551076755850522
quantized_central_mean_topk_inside_fraction_suspicious,0.32517658293882173
central_joint_band_mean_inside_ratio_all,0.3237313999609299
central_joint_band_mean_topk_inside_fraction_all,0.48235778316694844
central_joint_band_mean_inside_ratio_suspicious,0.24585710282569173
central_joint_band_mean_topk_inside_fraction_suspicious,0.2971035447489589
border_attention_score_mean_all,0.17087519127889086
border_attention_score_mean_suspicious,0.21575820749095545
